id,score,gender,IQ
1,12,1,89
2,26,1,90
3,23,2,88
4,40,2,92
5,33,2,96
6,18,1,90
7,16,1,79
8,28,2,81
9,23,1,106
10,16,2,99
11,16,1,104
12,24,2,98
13,14,1,95
14,15,1,85
15,15,2,115
16,33,1,103
17,20,2,103
18,22,2,93
19,22,2,96
20,23,2,100
21,20,1,84
22,26,1,101
23,23,1,107
24,32,2,97
25,26,2,101
26,28,2,101
27,32,1,102
28,16,2,87
29,19,2,103
30,23,1,104
31,28,1,103
32,19,2,84
33,27,2,113
34,25,1,107
35,21,1,101
36,20,2,105
37,35,1,91
38,29,1,100
39,15,2,94
40,11,2,91
41,31,1,101
42,38,1,93
43,21,2,107
44,27,1,86
45,15,2,79
46,19,2,98
47,35,2,97
48,23,1,97
49,17,2,96
50,29,1,81
51,22,2,100
52,28,1,91
53,27,1,97
54,35,2,93
55,14,2,94
56,10,1,111
57,36,1,77
58,23,2,99
59,10,1,95
60,28,2,109
61,22,2,89
62,30,1,88
63,12,2,75
64,36,1,96
65,14,2,94
66,24,2,99
67,11,2,94
68,26,1,113
69,26,2,87
70,27,2,104
71,29,1,103
72,36,1,89
73,21,1,85
74,29,2,90
75,31,2,92
76,30,2,90
77,23,1,97
78,36,2,110
79,31,1,97
80,26,1,93
81,26,1,112
82,14,2,113
83,25,1,117
84,36,1,80
85,23,2,103
86,4,2,108
87,28,2,99
88,27,2,93
89,30,2,90
90,24,2,98
91,39,2,94
92,25,1,102
93,36,2,101
94,29,2,106
95,26,2,92
96,11,2,90
97,23,1,85
98,19,1,97
99,38,1,90
100,21,2,70
